perfil;documento;cnpj_basico;uf;municipio_ibge;cultura_referencia;divida_ativa_total;divida_ativa_ajuizada;n_inscricoes;delta_divida_2_trimestres;flag_divida_previdenciaria;flag_divida_fgts;idade_empresa_meses;capital_social;porte;natureza_juridica;situacao_cadastral;flag_situacao_irregular;cnae_principal;flag_cnae_agro;n_filiais;n_socios;n_empresas_do_socio;n_empresas_do_socio_com_divida_ativa;n_empresas_do_socio_inaptas;n_autos_infracao;valor_multas_ambientais;flag_embargo_ativo;area_embargada_ha;volume_credito_rural_municipio;n_contratos_municipio;ticket_medio_municipio;credito_por_hectare_municipio;acionamentos_proagro_municipio;produtividade_municipal_cultura;desvio_produtividade_vs_media_5a;area_plantada_municipio_cultura;precipitacao_acumulada_ciclo;precipitacao_vs_normal_climatologica;dias_secos_consecutivos_max;anomalia_na_fase_critica;n_protestos_ativos;valor_total_protestado;dias_desde_protesto_mais_recente;n_cartorios_distintos;alvo_sintetico
limpo;97206603000186;97206603;RS;1296511;soja;0.0;0.0;0;0.0;False;False;480;56588.72;01;2054;02;False;0121101;True;0;3;2;0;1;0;0.0;False;0.0;;;;;;;;;;;;;;;;;0
limpo;70333053000100;70333053;RS;1296511;soja;0.0;0.0;0;0.0;False;False;347;2618722.97;05;2054;02;False;0121101;True;1;5;2;0;1;0;0.0;False;0.0;;;;;;;;;;;;;;;;;0
limpo;92073508000138;92073508;BA;3889457;soja;0.0;0.0;0;0.0;False;False;25;205518.31;03;4014;02;False;0210101;True;0;5;1;1;0;0;0.0;False;0.0;;;;;;3266.5;0.0304;5248.27;1073.2;0.0666;5;0.3658;;;;;0
situacao_irregular;56541891000148;56541891;TO;2625906;soja;0.0;0.0;0;0.0;False;False;243;14393.71;05;2240;04;True;0311601;True;1;8;1;0;0;12;79212.35;False;0.0;7076252.67;3896;1816.29;5129.4;;4004.9;-0.3294;61983.79;1163.5;-0.1957;26;-0.2281;;;;;0
grupo_societario;97577092000109;97577092;MS;2167433;soja;0.0;0.0;0;0.0;False;False;94;109462.59;01;2135;02;False;0311601;True;0;7;8;7;2;0;0.0;False;0.0;45698908.98;37;1235105.65;4640.03;;3388.1;-0.041;1178.06;747.3;0.3091;29;-0.1134;;;;;0
limpo;12433447000133;12433447;MT;3047606;soja;0.0;0.0;0;0.0;False;False;521;75685.5;01;2062;02;False;0210101;True;0;4;2;0;0;0;0.0;False;0.0;3490150.22;1814;1924.01;3376.09;;;;;;;;;;;;;0
divida_ativa;16264794000130;16264794;MT;4872493;soja;40190.39;20713.62;2;10655.43;False;True;474;530721.34;01;2062;02;False;0311601;True;0;2;2;2;0;0;0.0;False;0.0;12871579.85;766;16803.63;1283.72;;2678.2;-0.0379;315502.18;1164.2;-0.4814;30;-0.3935;;;;;0
limpo;37566472000116;37566472;SP;1144522;soja;0.0;0.0;0;0.0;False;False;516;163675.66;05;2240;02;False;0210101;True;1;2;1;0;0;0;0.0;False;0.0;22685314.17;3452;6571.64;4478.12;;3859.7;-0.1003;15013.11;975.4;-0.3231;19;-0.3987;;;;;0
limpo;73574016000181;73574016;MA;1813278;soja;0.0;0.0;0;0.0;False;False;430;75886.67;03;2135;02;False;0113000;True;0;7;0;0;0;0;0.0;False;0.0;;;;;;3988.3;0.1576;4152.02;852.3;0.0456;18;-0.0187;;;;;0
passivo_ambiental_auto;65486872000157;65486872;GO;2092240;soja;0.0;0.0;0;0.0;False;False;36;8538.02;05;4014;02;False;0111301;True;0;6;1;1;0;14;302030.56;False;0.0;3025600.14;2445;1237.46;6478.28;;;;;;;;;;;;;0
divida_ativa;98607345000102;98607345;PI;4630374;soja;74806.93;53364.98;9;35767.36;False;False;317;123465.97;05;2240;02;False;0210101;True;0;5;0;0;0;0;0.0;False;0.0;13048266.74;1086;12014.98;3730.29;;4454.7;0.2245;24466.93;1518.2;0.2463;22;-0.0198;;;;;0
situacao_irregular;64215650000137;64215650;TO;2625906;soja;0.0;0.0;0;0.0;False;False;359;2242637.09;03;2135;04;True;0151201;True;0;6;2;1;0;0;0.0;False;0.0;7076252.67;3896;1816.29;5129.4;;4004.9;-0.3294;61983.79;1163.5;-0.1957;26;-0.2281;;;;;0
limpo;22458031000123;22458031;MA;1849363;soja;0.0;0.0;0;0.0;False;False;34;20975.81;05;4014;02;False;0151201;True;0;5;1;1;0;0;0.0;False;0.0;1890436.06;790;2392.96;3254.5;;2951.6;0.2319;11567.52;1244.5;-0.2244;14;0.2749;;;;;0
limpo;78115413000109;78115413;MT;4091416;soja;0.0;0.0;0;0.0;False;False;11;1004.29;05;4014;02;False;0311601;True;0;4;2;1;1;0;0.0;False;0.0;9930345.71;3827;2594.81;2854.45;;2593.6;0.1175;64737.72;;;;;;;;;0
limpo;60689435000117;60689435;RS;4372021;soja;0.0;0.0;0;0.0;False;False;375;867950.75;03;2062;02;False;0113000;True;0;7;1;0;0;0;0.0;False;0.0;4702656.59;2724;1726.38;4444.47;;2871.3;-0.1436;6684.69;1363.1;-0.0476;4;-0.0304;;;;;0
limpo;69883130000116;69883130;GO;2092240;soja;0.0;0.0;0;0.0;False;False;410;1032135.95;05;2054;02;False;0133403;True;0;8;1;1;0;0;0.0;False;0.0;3025600.14;2445;1237.46;6478.28;;;;;;;;;;;;;0
limpo;71433172000105;71433172;GO;2092240;soja;0.0;0.0;0;0.0;False;False;490;29363.53;01;2135;02;False;0220901;True;0;2;2;2;1;0;0.0;False;0.0;3025600.14;2445;1237.46;6478.28;;;;;;;;;0;0.0;;0;0
limpo;80166008000161;80166008;RS;4372021;soja;0.0;0.0;0;0.0;False;False;152;882692.33;01;2240;02;False;0151201;True;0;8;1;0;0;0;0.0;False;0.0;4702656.59;2724;1726.38;4444.47;;2871.3;-0.1436;6684.69;1363.1;-0.0476;4;-0.0304;;;;;0
passivo_ambiental_auto;66045988000113;66045988;PR;4542087;soja;0.0;0.0;0;0.0;False;False;392;1297827.52;03;4014;02;False;0113000;True;1;8;1;1;0;10;609761.88;False;0.0;2139970.45;3795;563.89;4484.0;;;;;;;;;;;;;0
limpo;64979383000174;64979383;TO;2625906;soja;0.0;0.0;0;0.0;False;False;459;2124571.06;05;2240;02;False;0111301;True;1;1;1;1;0;0;0.0;False;0.0;7076252.67;3896;1816.29;5129.4;;4004.9;-0.3294;61983.79;1163.5;-0.1957;26;-0.2281;;;;;0
limpo;93041052000197;93041052;TO;2599733;soja;0.0;0.0;0;0.0;False;False;520;387560.71;05;2135;02;False;0115600;True;0;4;2;0;1;0;0.0;False;0.0;1134944.18;1648;688.68;2399.35;;3673.1;0.0845;644740.4;;;;;;;;;0
limpo;63928396000151;63928396;MA;1849363;soja;0.0;0.0;0;0.0;False;False;30;100719.12;05;2240;02;False;0121101;True;0;2;0;0;0;0;0.0;False;0.0;1890436.06;790;2392.96;3254.5;;2951.6;0.2319;11567.52;1244.5;-0.2244;14;0.2749;;;;;0
limpo;29331950000180;29331950;MA;1849363;soja;0.0;0.0;0;0.0;False;False;179;16433708.84;01;2062;02;False;0115600;True;0;2;0;0;0;0;0.0;False;0.0;1890436.06;790;2392.96;3254.5;;2951.6;0.2319;11567.52;1244.5;-0.2244;14;0.2749;;;;;0
situacao_irregular;44619354000194;44619354;BA;1993507;soja;0.0;0.0;0;0.0;False;False;248;1037619.53;03;4014;04;True;0220901;True;0;2;0;0;0;0;0.0;False;0.0;;;;;;3041.8;-0.0835;4445.58;1427.8;0.2926;16;-0.2083;;;;;0
limpo;64636878000109;64636878;MT;4881066;soja;0.0;0.0;0;0.0;False;False;109;190355.58;01;2240;02;False;0311601;True;0;2;2;2;0;4;1145020.92;False;0.0;;;;;;;;;;;;;;;;;0
limpo;32573855000106;32573855;TO;2782512;soja;0.0;0.0;0;0.0;False;False;48;1505536.71;05;2240;02;False;0113000;True;0;8;1;1;0;0;0.0;False;0.0;;;;;;2863.3;-0.1129;5150.27;910.7;0.2631;25;0.1329;;;;;0
passivo_ambiental_embargo;94853379000126;94853379;MS;2167433;soja;0.0;0.0;0;0.0;False;False;77;182420.84;03;2062;02;False;0121101;True;0;3;2;2;1;5;242959.52;True;1516.94;45698908.98;37;1235105.65;4640.03;;3388.1;-0.041;1178.06;747.3;0.3091;29;-0.1134;6;14679.63;328;3;0
limpo;70762792000117;70762792;PR;4168991;soja;0.0;0.0;0;0.0;False;False;342;3274035.72;05;2062;02;False;0311601;True;0;1;1;0;0;0;0.0;False;0.0;;;;;;3272.2;-0.2374;11409.04;801.1;0.1095;21;-0.0934;;;;;0
divida_ativa;62719526000183;62719526;TO;4589069;soja;59245.15;31912.36;8;14088.3;True;False;372;11497.74;05;2062;02;False;0111301;True;0;4;2;1;0;0;0.0;False;0.0;2443446.14;2744;890.47;4703.19;;2024.4;-0.0039;12496.35;1038.3;-0.1626;18;-0.1071;;;;;1
divida_ativa;58025924000122;58025924;TO;2395181;soja;425691.66;344135.31;4;-47930.18;False;True;293;9309.51;05;2135;02;False;0115600;True;0;7;2;0;1;0;0.0;False;0.0;5222030.27;3113;1677.49;5412.59;;4009.6;0.3374;16612.29;725.4;0.2591;36;-0.1239;;;;;0
limpo;36007403000100;36007403;GO;2856025;soja;0.0;0.0;0;0.0;False;False;137;205683.0;05;2062;02;False;0113000;True;0;4;2;2;1;0;0.0;False;0.0;4215365.78;477;8837.24;5811.42;;1816.6;-0.0367;157568.54;1022.2;-0.0563;11;-0.2071;;;;;0
limpo;81530199000161;81530199;PA;3572518;soja;0.0;0.0;0;0.0;False;False;59;498707.25;03;2240;02;False;0111301;True;0;8;1;1;0;0;0.0;False;0.0;8421494.89;3910;2153.84;5580.08;;;;;;;;;4;10470.13;780;1;0
limpo;66379776000172;66379776;BA;1287110;soja;0.0;0.0;0;0.0;False;False;31;698654.19;05;2054;02;False;0111301;True;1;4;1;0;0;0;0.0;False;0.0;7170659.32;281;25518.36;5970.35;;3173.5;-0.0805;35165.31;;;;;;;;;0
limpo;13741017000141;13741017;PR;4168991;soja;0.0;0.0;0;0.0;False;False;262;165653.1;01;2062;02;False;0133403;True;0;6;2;0;1;0;0.0;False;0.0;;;;;;3272.2;-0.2374;11409.04;801.1;0.1095;21;-0.0934;;;;;0
grupo_societario;90525899000159;90525899;RS;2897684;soja;0.0;0.0;0;0.0;False;False;68;893426.9;05;2062;02;False;0113000;True;0;8;23;1;4;0;0.0;False;0.0;25576731.08;1000;25576.73;5293.87;;3022.4;-0.1789;34484.31;791.9;0.1416;23;-0.3386;;;;;0
limpo;17488001000120;17488001;MT;3486350;soja;0.0;0.0;0;0.0;False;False;426;71422.99;01;4014;02;False;0311601;True;0;7;1;1;0;0;0.0;False;0.0;65163087.4;3987;16343.89;5719.93;;2279.5;0.0795;14132.81;;;;;;;;;0
limpo;97365194000160;97365194;TO;2625906;soja;0.0;0.0;0;0.0;False;False;116;1386422.6;01;4014;02;False;0116401;True;1;3;1;1;0;0;0.0;False;0.0;7076252.67;3896;1816.29;5129.4;;4004.9;-0.3294;61983.79;1163.5;-0.1957;26;-0.2281;;;;;0
limpo;42635373000189;42635373;TO;2625906;soja;0.0;0.0;0;0.0;False;False;372;836799.83;03;4014;02;False;0220901;True;1;3;0;0;0;0;0.0;False;0.0;7076252.67;3896;1816.29;5129.4;;4004.9;-0.3294;61983.79;1163.5;-0.1957;26;-0.2281;;;;;0
limpo;59503523000101;59503523;GO;3838683;soja;0.0;0.0;0;0.0;False;False;525;501440.63;01;2054;02;False;0210101;True;0;4;2;2;0;0;0.0;False;0.0;8577457.59;2126;4034.55;3501.48;;;;;;;;;;;;;0
limpo;73850736000122;73850736;MT;4872493;soja;0.0;0.0;0;0.0;False;False;349;19814.64;05;2240;02;False;0121101;True;0;2;2;1;0;0;0.0;False;0.0;12871579.85;766;16803.63;1283.72;;2678.2;-0.0379;315502.18;1164.2;-0.4814;30;-0.3935;;;;;0
limpo;40906854000156;40906854;MA;1813278;soja;0.0;0.0;0;0.0;False;False;345;344685.28;03;2135;02;False;0115600;True;0;2;1;1;0;0;0.0;False;0.0;;;;;;3988.3;0.1576;4152.02;852.3;0.0456;18;-0.0187;;;;;0
limpo;36092388000145;36092388;TO;2782512;soja;0.0;0.0;0;0.0;False;False;208;32013.0;03;2135;02;False;0116401;True;1;3;1;1;0;0;0.0;False;0.0;;;;;;2863.3;-0.1129;5150.27;910.7;0.2631;25;0.1329;1;40934.64;271;1;1
limpo;97895055000149;97895055;PA;3572518;soja;0.0;0.0;0;0.0;False;False;387;548964.6;05;2135;02;False;0220901;True;2;7;0;0;0;0;0.0;False;0.0;8421494.89;3910;2153.84;5580.08;;;;;;;;;;;;;0
limpo;27554964000138;27554964;PR;4542087;soja;0.0;0.0;0;0.0;False;False;445;735867.44;01;4014;02;False;0311601;True;0;5;1;0;0;0;0.0;False;0.0;2139970.45;3795;563.89;4484.0;;;;;;;;;;;;;0
divida_ativa;26972976000110;26972976;PR;4168991;soja;37053.88;7753.06;2;12143.75;False;False;177;7598.19;05;4014;02;False;0210101;True;0;8;2;0;1;0;0.0;False;0.0;;;;;;3272.2;-0.2374;11409.04;801.1;0.1095;21;-0.0934;;;;;0
divida_ativa;76409861000190;76409861;RS;3466531;soja;38252.94;35238.04;1;-5135.09;False;True;246;49607.75;03;4014;02;False;0113000;True;1;6;2;1;0;0;0.0;False;0.0;3897875.17;1357;2872.42;4389.67;;;;;;;;;;;;;1
limpo;79634938000113;79634938;TO;2599733;soja;0.0;0.0;0;0.0;False;False;467;483493.69;03;2054;02;False;0121101;True;0;8;1;1;0;0;0.0;False;0.0;1134944.18;1648;688.68;2399.35;;3673.1;0.0845;644740.4;;;;;;;;;0
limpo;45651567000166;45651567;MT;4952487;soja;0.0;0.0;0;0.0;False;False;86;475088.58;01;2062;02;False;0111301;True;0;4;0;0;0;0;0.0;False;0.0;;;;;;4283.3;-0.0501;26781.4;1142.6;-0.1312;16;-0.1184;;;;;0
limpo;50629797000169;50629797;PA;3572518;soja;0.0;0.0;0;0.0;False;False;147;2612.28;05;4014;02;False;0151201;True;0;5;1;1;0;0;0.0;False;0.0;8421494.89;3910;2153.84;5580.08;;;;;;;;;;;;;0
grupo_societario;87840078000100;87840078;PI;4630374;soja;0.0;0.0;0;0.0;False;False;413;276065.17;01;2054;02;False;0116401;True;0;8;23;23;7;9;2152163.76;False;0.0;13048266.74;1086;12014.98;3730.29;;4454.7;0.2245;24466.93;1518.2;0.2463;22;-0.0198;;;;;0
limpo;35212337000147;35212337;TO;2599733;soja;0.0;0.0;0;0.0;False;False;36;30959.23;01;2240;02;False;0115600;True;0;6;1;1;0;0;0.0;False;0.0;1134944.18;1648;688.68;2399.35;;3673.1;0.0845;644740.4;;;;;;;;;0
divida_ativa;82155988000122;82155988;PA;3572518;soja;239989.89;188477.93;3;-42489.49;False;True;406;643674.81;03;2062;02;False;0220901;True;0;8;2;0;1;0;0.0;False;0.0;8421494.89;3910;2153.84;5580.08;;;;;;;;;4;26448.99;465;3;0
limpo;84209891000180;84209891;TO;2599733;soja;0.0;0.0;0;0.0;False;False;77;884997.15;01;2135;02;False;0151201;True;0;2;2;1;0;0;0.0;False;0.0;1134944.18;1648;688.68;2399.35;;3673.1;0.0845;644740.4;;;;;;;;;0
limpo;65144861000199;65144861;MA;1813278;soja;0.0;0.0;0;0.0;False;False;76;66754.94;03;2135;02;False;0113000;True;1;5;0;0;0;0;0.0;False;0.0;;;;;;3988.3;0.1576;4152.02;852.3;0.0456;18;-0.0187;;;;;0
limpo;91028510000122;91028510;GO;3763424;soja;0.0;0.0;0;0.0;False;False;288;1030090.91;03;2062;02;False;0121101;True;0;4;0;0;0;0;0.0;False;0.0;2844536.11;3158;900.74;4170.84;;3496.6;-0.1391;1857.33;;;;;;;;;0
passivo_ambiental_auto;71767610000163;71767610;RS;4372021;soja;0.0;0.0;0;0.0;False;False;473;47283299.73;03;2240;02;False;0121101;True;0;3;0;0;0;12;30461.58;False;0.0;4702656.59;2724;1726.38;4444.47;;2871.3;-0.1436;6684.69;1363.1;-0.0476;4;-0.0304;4;48489.61;753;2;0
limpo;86318249000165;86318249;GO;3763424;soja;0.0;0.0;0;0.0;False;False;286;1032027.55;05;2062;02;False;0116401;True;1;7;0;0;0;0;0.0;False;0.0;2844536.11;3158;900.74;4170.84;;3496.6;-0.1391;1857.33;;;;;;;;;0
limpo;59490380000132;59490380;MT;3047606;soja;0.0;0.0;0;0.0;False;False;218;36783.3;05;2062;02;False;0133403;True;0;8;1;1;0;0;0.0;False;0.0;3490150.22;1814;1924.01;3376.09;;;;;;;;;;;;;0
limpo;11441144000108;11441144;TO;1926828;soja;0.0;0.0;0;0.0;False;False;502;83712.88;05;2135;02;False;0133403;True;0;5;0;0;0;0;0.0;False;0.0;1592038.63;3955;402.54;2086.07;;2103.1;-0.0625;2779.51;847.2;0.0075;25;0.3455;;;;;0
passivo_ambiental_auto;91468625000138;91468625;SP;1144522;soja;0.0;0.0;0;0.0;False;False;85;217582.39;05;2062;02;False;0151201;True;0;6;1;0;0;2;35261.47;False;0.0;22685314.17;3452;6571.64;4478.12;;3859.7;-0.1003;15013.11;975.4;-0.3231;19;-0.3987;;;;;0
divida_ativa;95200126000116;95200126;RS;5323473;soja;1103.25;728.19;2;13.78;True;True;10;1050265.74;01;2135;02;False;0210101;True;1;4;2;0;0;0;0.0;False;0.0;5770153.78;3796;1520.06;6107.33;;4184.9;0.3046;1406.53;1150.1;-0.4716;32;0.0109;;;;;0
limpo;35790180000137;35790180;MA;1813278;soja;0.0;0.0;0;0.0;False;False;177;314111.16;05;2135;02;False;0115600;True;0;2;0;0;0;0;0.0;False;0.0;;;;;;3988.3;0.1576;4152.02;852.3;0.0456;18;-0.0187;;;;;0
limpo;35440639000172;35440639;MT;4881066;soja;0.0;0.0;0;0.0;False;False;224;674643.47;01;2054;02;False;0210101;True;0;4;1;1;0;0;0.0;False;0.0;;;;;;;;;;;;;;;;;0
limpo;59523652000153;59523652;MG;2246509;soja;120153.79;71956.39;2;32444.51;False;False;181;178149.46;03;2054;02;False;0113000;True;0;6;1;1;0;0;0.0;False;0.0;18573077.57;406;45746.5;1183.29;;3809.0;-0.3511;358203.19;;;;;;;;;0
situacao_irregular;70251890000190;70251890;GO;3838683;soja;0.0;0.0;0;0.0;False;False;244;420159.82;01;4014;04;True;0111301;True;0;7;2;0;0;0;0.0;False;0.0;8577457.59;2126;4034.55;3501.48;;;;;;;;;;;;;0
limpo;37113563000104;37113563;MT;4091416;soja;0.0;0.0;0;0.0;False;False;460;160537.95;03;2240;02;False;0115600;True;0;7;0;0;0;0;0.0;False;0.0;9930345.71;3827;2594.81;2854.45;;2593.6;0.1175;64737.72;;;;;;;;;0
divida_ativa;40737204000124;40737204;GO;2631798;soja;9055.09;1863.7;1;3851.18;False;True;233;42248.52;03;2135;02;False;0133403;True;0;2;1;1;0;0;0.0;False;0.0;14413700.4;13;1108746.18;6417.73;;3194.9;-0.0821;19788.09;1403.2;-0.2716;20;0.8262;;;;;0
limpo;28996104000117;28996104;MA;2547930;soja;0.0;0.0;0;0.0;False;False;215;55887.1;01;4014;02;False;0111301;True;0;8;0;0;0;0;0.0;False;0.0;3056399.2;3421;893.42;2943.06;;3413.0;0.1153;12947.73;1079.8;-0.105;39;-0.2894;;;;;0
limpo;33680772000170;33680772;TO;1926828;soja;0.0;0.0;0;0.0;False;False;284;739353.4;03;2054;02;False;0121101;True;0;8;2;1;1;0;0.0;False;0.0;1592038.63;3955;402.54;2086.07;;2103.1;-0.0625;2779.51;847.2;0.0075;25;0.3455;;;;;0
limpo;61193233000142;61193233;RS;1296511;soja;0.0;0.0;0;0.0;False;False;185;34370.2;03;2054;02;False;0133403;True;0;5;1;1;0;0;0.0;False;0.0;;;;;;;;;;;;;;;;;0
divida_ativa;36268523000160;36268523;GO;2092240;soja;1612559.29;603512.91;7;710417.6;False;False;388;198782.32;03;2054;02;False;0151201;True;0;2;0;0;0;0;0.0;False;0.0;3025600.14;2445;1237.46;6478.28;;;;;;;;;;;;;0
passivo_ambiental_embargo;26707088000170;26707088;GO;3355082;soja;0.0;0.0;0;0.0;False;False;267;274644.24;03;4014;02;False;0133403;True;0;6;2;2;0;3;3292.88;True;1954.46;344902.69;1555;221.8;1341.28;;3426.5;-0.1292;14743.52;1302.6;0.1067;12;-0.0223;;;;;0
limpo;14631527000129;14631527;RS;2897684;soja;0.0;0.0;0;0.0;False;False;157;155080.08;05;2135;02;False;0151201;True;0;3;2;0;0;0;0.0;False;0.0;25576731.08;1000;25576.73;5293.87;;3022.4;-0.1789;34484.31;791.9;0.1416;23;-0.3386;;;;;0
divida_ativa;61586279000121;61586279;TO;1628136;soja;325794.43;26177.03;4;130580.01;True;True;315;17247.01;03;4014;02;False;0151201;True;0;2;2;0;1;0;0.0;False;0.0;22713744.04;630;36053.56;4855.95;;;;;;;;;;;;;0
divida_ativa;63414658000160;63414658;MG;2246509;soja;44595.48;36407.28;1;-9922.65;False;True;432;31488.34;01;2135;02;False;0210101;True;0;3;0;0;0;0;0.0;False;0.0;18573077.57;406;45746.5;1183.29;;3809.0;-0.3511;358203.19;;;;;;;;;1
limpo;24795927000123;24795927;MT;4952487;soja;0.0;0.0;0;0.0;False;False;202;14072.72;03;2054;02;False;0133403;True;0;2;0;0;0;0;0.0;False;0.0;;;;;;4283.3;-0.0501;26781.4;1142.6;-0.1312;16;-0.1184;;;;;0
limpo;21503407000101;21503407;SP;1144522;soja;0.0;0.0;0;0.0;False;False;502;119651.14;01;2240;02;False;0115600;True;0;1;1;0;0;0;0.0;False;0.0;22685314.17;3452;6571.64;4478.12;;3859.7;-0.1003;15013.11;975.4;-0.3231;19;-0.3987;4;16272.18;813;1;0
passivo_ambiental_embargo;45679876000144;45679876;RS;3466531;soja;0.0;0.0;0;0.0;False;False;385;87340.6;03;2135;02;False;0210101;True;0;7;1;0;0;13;16976.86;True;2619.87;3897875.17;1357;2872.42;4389.67;;;;;;;;;;;;;0
limpo;63929804000190;63929804;MA;1813278;soja;0.0;0.0;0;0.0;False;False;549;104662.23;01;2240;02;False;0133403;True;0;8;0;0;0;0;0.0;False;0.0;;;;;;3988.3;0.1576;4152.02;852.3;0.0456;18;-0.0187;4;294925.01;426;3;0
grupo_societario;53242747000112;53242747;PR;4168991;soja;804453.97;187887.18;8;16195.39;False;True;444;99919.11;03;2062;02;False;0121101;True;0;4;4;1;2;0;0.0;False;0.0;;;;;;3272.2;-0.2374;11409.04;801.1;0.1095;21;-0.0934;;;;;0
limpo;76830369000193;76830369;BA;3889457;soja;0.0;0.0;0;0.0;False;False;484;497834.85;01;2054;02;False;0220901;True;0;4;2;0;0;0;0.0;False;0.0;;;;;;3266.5;0.0304;5248.27;1073.2;0.0666;5;0.3658;;;;;0
limpo;53822194000177;53822194;TO;2395181;soja;0.0;0.0;0;0.0;False;False;132;1086783.42;05;2135;02;False;0220901;True;0;8;0;0;0;0;0.0;False;0.0;5222030.27;3113;1677.49;5412.59;;4009.6;0.3374;16612.29;725.4;0.2591;36;-0.1239;;;;;0
limpo;40038761000157;40038761;TO;4589069;soja;0.0;0.0;0;0.0;False;False;396;27154.92;03;2135;02;False;0116401;True;0;5;2;0;0;0;0.0;False;0.0;2443446.14;2744;890.47;4703.19;;2024.4;-0.0039;12496.35;1038.3;-0.1626;18;-0.1071;0;0.0;;0;0
situacao_irregular;25583513000101;25583513;MT;1342092;soja;0.0;0.0;0;0.0;False;False;69;11589.33;05;4014;08;True;0116401;True;1;7;1;1;0;0;0.0;False;0.0;722846.84;2362;306.03;1988.84;;3594.8;0.0837;14558.01;663.4;-0.0379;31;0.4066;;;;;0
limpo;90747752000103;90747752;GO;2092240;soja;0.0;0.0;0;0.0;False;False;154;342666.26;01;2054;02;False;0133403;True;0;5;0;0;0;0;0.0;False;0.0;3025600.14;2445;1237.46;6478.28;;;;;;;;;;;;;0
passivo_ambiental_auto;14609555000140;14609555;GO;3763424;soja;0.0;0.0;0;0.0;False;False;495;41853.75;05;2135;02;False;0133403;True;0;7;1;0;0;9;557334.0;False;0.0;2844536.11;3158;900.74;4170.84;;3496.6;-0.1391;1857.33;;;;;;;;;0
divida_ativa;17055329000152;17055329;BA;1287110;soja;467741.24;340232.86;5;228029.3;False;False;28;34698.83;05;2054;02;False;0210101;True;0;7;0;0;0;0;0.0;False;0.0;7170659.32;281;25518.36;5970.35;;3173.5;-0.0805;35165.31;;;;;;;;;1
limpo;36184828000194;36184828;GO;2631798;soja;0.0;0.0;0;0.0;False;False;61;107930.2;05;2240;02;False;0133403;True;0;3;0;0;0;0;0.0;False;0.0;14413700.4;13;1108746.18;6417.73;;3194.9;-0.0821;19788.09;1403.2;-0.2716;20;0.8262;;;;;0
limpo;29437798000115;29437798;RS;1296511;soja;0.0;0.0;0;0.0;False;False;110;15204.24;01;2054;02;False;0121101;True;0;3;0;0;0;0;0.0;False;0.0;;;;;;;;;;;;;;;;;0
limpo;73602527000160;73602527;PI;3137869;soja;0.0;0.0;0;0.0;False;False;158;1085.38;05;2054;02;False;0116401;True;0;4;2;1;1;0;0.0;False;0.0;10177003.44;1015;10026.6;5071.94;;2744.9;-0.3095;14240.48;640.1;0.0766;0;0.6749;;;;;0
grupo_societario;97616925000101;97616925;GO;3838683;soja;0.0;0.0;0;0.0;False;False;397;116359.97;03;2062;02;False;0111301;True;0;2;24;15;10;0;0.0;False;0.0;8577457.59;2126;4034.55;3501.48;;;;;;;;;;;;;0
limpo;88765739000135;88765739;BA;3889457;soja;0.0;0.0;0;0.0;False;False;191;2761287.99;03;2054;02;False;0121101;True;0;3;1;0;0;0;0.0;False;0.0;;;;;;3266.5;0.0304;5248.27;1073.2;0.0666;5;0.3658;;;;;0
limpo;12650315000163;12650315;MA;1849363;soja;0.0;0.0;0;0.0;False;False;557;84343.57;01;2135;02;False;0111301;True;0;3;2;0;1;0;0.0;False;0.0;1890436.06;790;2392.96;3254.5;;2951.6;0.2319;11567.52;1244.5;-0.2244;14;0.2749;;;;;0
limpo;87186069000130;87186069;PR;4374686;soja;0.0;0.0;0;0.0;False;False;92;6838.38;01;4014;02;False;0151201;True;0;3;2;1;0;0;0.0;False;0.0;;;;;;;;;;;;;;;;;0
grupo_societario;79718468000176;79718468;GO;3355082;soja;0.0;0.0;0;0.0;False;False;326;738.37;03;4014;02;False;0220901;True;0;2;20;1;3;0;0.0;False;0.0;344902.69;1555;221.8;1341.28;;3426.5;-0.1292;14743.52;1302.6;0.1067;12;-0.0223;;;;;1
limpo;38885391000141;38885391;TO;2782512;soja;0.0;0.0;0;0.0;False;False;438;81847.93;01;4014;02;False;0151201;True;0;3;0;0;0;0;0.0;False;0.0;;;;;;2863.3;-0.1129;5150.27;910.7;0.2631;25;0.1329;;;;;0
grupo_societario;67088619000170;67088619;TO;2599733;soja;0.0;0.0;0;0.0;False;False;203;104673.9;05;4014;02;False;0311601;True;0;3;9;5;3;0;0.0;False;0.0;1134944.18;1648;688.68;2399.35;;3673.1;0.0845;644740.4;;;;;3;4560.4;29;3;0
limpo;24762625000159;24762625;MG;2246509;soja;0.0;0.0;0;0.0;False;False;347;217127.77;01;2240;02;False;0115600;True;0;4;1;1;0;0;0.0;False;0.0;18573077.57;406;45746.5;1183.29;;3809.0;-0.3511;358203.19;;;;;;;;;0
limpo;51144384000157;51144384;PR;4374686;soja;0.0;0.0;0;0.0;False;False;294;62850.81;05;2240;02;False;0311601;True;0;1;0;0;0;0;0.0;False;0.0;;;;;;;;;;;;;;;;;0
limpo;81361168000124;81361168;MS;2167433;soja;0.0;0.0;0;0.0;False;False;15;56210.0;05;2135;02;False;0113000;True;0;5;1;0;0;0;0.0;False;0.0;45698908.98;37;1235105.65;4640.03;;3388.1;-0.041;1178.06;747.3;0.3091;29;-0.1134;;;;;0
